,Location,Loc ID,Occupation,2003,2006,2009,2012,2015,2018,2018,2021
0,"Abilene, TX ",1,All Occupations,53600,62670,63330,62020,65070,64300,32874,93972
1,"Amarillo, TX ",2,All Occupations,95500,106470,108690,109750,114450,114830,117077,170048
2,"Austin-San Marcos, TX",3,All Occupations,651670,711080,769370,812600,928810,1028500,1035797,1743122
3,"Beaumont-Port Arthur, TX ",4,All Occupations,153080,154910,159930,157320,164920,159560,182974,312499
4,"Brownsville-Harlingen-San Benito, TX ",5,All Occupations,112320,117680,122990,125870,135710,138510,137063,210187
5,"Bryan-College Station, TX ",6,All Occupations,75500,88910,91360,92990,189000,114040,118628,684439
6,"Corpus Christi, TX ",7,All Occupations,157030,170810,177750,181240,189000,187540,213255,293465
7,"Dallas, TX ",8,All Occupations,1890340,1990180,2047600,2097080,2329820,3568180,3551028,5418966
8,"El Paso, TX ",9,All Occupations,251970,258140,269250,275400,290630,304900,382783,495552
9,"Fort Worth-Arlington, TX ",10,All Occupations,764710,818690,856430,879300,973010,1001591,1294010,1954667
10,"Houston, TX ",11,All Occupations,2057880,2378080,2563840,2640640,2929970,2982420,2967070,5797061
11,"Killeen-Temple, TX ",12,All Occupations,100720,113000,121180,127320,132490,138520,108505,144272
12,"Laredo, TX ",13,All Occupations,74770,82410,86940,90020,96340,99900,70286,117353
13,"Longview-Marshall, TX ",14,All Occupations,91060,88160,94330,98130,98530,91920,90015,80037
14,"Lubbock, TX ",15,All Occupations,115560,122380,123840,125800,137110,142240,171408,237749
15,"McAllen-Edinburg-Mission, TX ",16,All Occupations,176900,203380,220110,227710,243340,260260,197067,379800
16,"Odessa-Midland, TX ",17,All Occupations,102280,60170,67570,68070,75380,76540,83128,101574
17,"San Angelo, TX ",18,All Occupations,43760,42270,43590,44660,46450,45880,22706,25566
18,"San Antonio, TX",19,All Occupations,704640,789240,837030,862280,947350,1011640,1101355,1836378
19,"Sherman-Denison, TX ",20,All Occupations,41130,41810,41010,40790,48280,44890,30058,71190
20,"Texarkana, TX",21,All Occupations,50250,53740,53660,53830,56760,55680,42187,62839
21,"Tyler, TX",22,All Occupations,84140,93100,92840,92570,98350,101740,108283,163667
22,"Victoria, TX ",23,All Occupations,34410,48020,47680,49860,42290,39450,21913,-33814
23,"Waco, TX",24,All Occupations,93520,97530,99480,100300,109740,116430,116041,187768
24,"Wichita Falls, TX ",25,All Occupations,55330,59760,57060,55720,56400,57020,64116,73947
