Location,Total Employee,Year
Abilene,53600,1/1/2003
Amarillo,95500,1/1/2003
Austin,651670,1/1/2003
Beaumont,153080,1/1/2003
Brownsville,112320,1/1/2003
College Station,75500,1/1/2003
Corpus Christi,157030,1/1/2003
Dallas,1890340,1/1/2003
El Paso,251970,1/1/2003
Midland,764710,1/1/2003
Houston,2057880,1/1/2003
Killeen-Temple,100720,1/1/2003
Laredo,74770,1/1/2003
Longview,91060,1/1/2003
Lubbock,115560,1/1/2003
McAllen,176900,1/1/2003
Odessa,102280,1/1/2003
San Angelo,43760,1/1/2003
San Antonio,704640,1/1/2003
Sherman,41130,1/1/2003
Texarkana,50250,1/1/2003
Tyler,84140,1/1/2003
Victoria,34410,1/1/2003
Waco,93520,1/1/2003
Wichita Falls,55330,1/1/2003
Abilene,62670,1/1/2006
Amarillo,106470,1/1/2006
Austin,711080,1/1/2006
Beaumont,154910,1/1/2006
Brownsville,117680,1/1/2006
College Station,88910,1/1/2006
Corpus Christi,170810,1/1/2006
Dallas,1990180,1/1/2006
El Paso,258140,1/1/2006
Midland,818690,1/1/2006
Houston,2378080,1/1/2006
Killeen-Temple,113000,1/1/2006
Laredo,82410,1/1/2006
Longview,88160,1/1/2006
Lubbock,122380,1/1/2006
McAllen,203380,1/1/2006
Odessa,60170,1/1/2006
San Angelo,42270,1/1/2006
San Antonio,789240,1/1/2006
Sherman,41810,1/1/2006
Texarkana,53740,1/1/2006
Tyler,93100,1/1/2006
Victoria,48020,1/1/2006
Waco,97530,1/1/2006
Wichita Falls,59760,1/1/2006
Abilene,63330,1/1/2009
Amarillo,108690,1/1/2009
Austin,769370,1/1/2009
Beaumont,159930,1/1/2009
Brownsville,122990,1/1/2009
College Station,91360,1/1/2009
Corpus Christi,177750,1/1/2009
Dallas,2047600,1/1/2009
El Paso,269250,1/1/2009
Midland,856430,1/1/2009
Houston,2563840,1/1/2009
Killeen-Temple,121180,1/1/2009
Laredo,86940,1/1/2009
Longview,94330,1/1/2009
Lubbock,123840,1/1/2009
McAllen,220110,1/1/2009
Odessa,67570,1/1/2009
San Angelo,43590,1/1/2009
San Antonio,837030,1/1/2009
Sherman,41010,1/1/2009
Texarkana,53660,1/1/2009
Tyler,92840,1/1/2009
Victoria,47680,1/1/2009
Waco,99480,1/1/2009
Wichita Falls,57060,1/1/2009
Abilene,62020,1/1/2012
Amarillo,109750,1/1/2012
Austin,812600,1/1/2012
Beaumont,157320,1/1/2012
Brownsville,125870,1/1/2012
College Station,92990,1/1/2012
Corpus Christi,181240,1/1/2012
Dallas,2097080,1/1/2012
El Paso,275400,1/1/2012
Midland,879300,1/1/2012
Houston,2640640,1/1/2012
Killeen-Temple,127320,1/1/2012
Laredo,90020,1/1/2012
Longview,98130,1/1/2012
Lubbock,125800,1/1/2012
McAllen,227710,1/1/2012
Odessa,68070,1/1/2012
San Angelo,44660,1/1/2012
San Antonio,862280,1/1/2012
Sherman,40790,1/1/2012
Texarkana,53830,1/1/2012
Tyler,92570,1/1/2012
Victoria,49860,1/1/2012
Waco,100300,1/1/2012
Wichita Falls,55720,1/1/2012
Abilene,65070,1/1/2015
Amarillo,114450,1/1/2015
Austin,928810,1/1/2015
Beaumont,164920,1/1/2015
Brownsville,135710,1/1/2015
College Station,189000,1/1/2015
Corpus Christi,189000,1/1/2015
Dallas,2329820,1/1/2015
El Paso,290630,1/1/2015
Midland,973010,1/1/2015
Houston,2929970,1/1/2015
Killeen-Temple,132490,1/1/2015
Laredo,96340,1/1/2015
Longview,98530,1/1/2015
Lubbock,137110,1/1/2015
McAllen,243340,1/1/2015
Odessa,75380,1/1/2015
San Angelo,46450,1/1/2015
San Antonio,947350,1/1/2015
Sherman,48280,1/1/2015
Texarkana,56760,1/1/2015
Tyler,98350,1/1/2015
Victoria,42290,1/1/2015
Waco,109740,1/1/2015
Wichita Falls,56400,1/1/2015
Abilene,64300,1/1/2018
Amarillo,114830,1/1/2018
Austin,1028500,1/1/2018
Beaumont,159560,1/1/2018
Brownsville,138510,1/1/2018
College Station,114040,1/1/2018
Corpus Christi,187540,1/1/2018
Dallas,3568180,1/1/2018
El Paso,304900,1/1/2018
Midland,1001591,1/1/2018
Houston,2982420,1/1/2018
Killeen-Temple,138520,1/1/2018
Laredo,99900,1/1/2018
Longview,91920,1/1/2018
Lubbock,142240,1/1/2018
McAllen,260260,1/1/2018
Odessa,76540,1/1/2018
San Angelo,45880,1/1/2018
San Antonio,1011640,1/1/2018
Sherman,44890,1/1/2018
Texarkana,55680,1/1/2018
Tyler,101740,1/1/2018
Victoria,39450,1/1/2018
Waco,116430,1/1/2018
Wichita Falls,57020,1/1/2018
Abilene,93972,1/1/2021
Amarillo,170048,1/1/2021
Austin,1743122,1/1/2021
Beaumont,312499,1/1/2021
Brownsville,210187,1/1/2021
College Station,684439,1/1/2021
Corpus Christi,293465,1/1/2021
Dallas,5418966,1/1/2021
El Paso,495552,1/1/2021
Midland,1954667,1/1/2021
Houston,5797061,1/1/2021
Killeen-Temple,144272,1/1/2021
Laredo,117353,1/1/2021
Longview,80037,1/1/2021
Lubbock,237749,1/1/2021
McAllen,379800,1/1/2021
Odessa,101574,1/1/2021
San Angelo,25566,1/1/2021
San Antonio,1836378,1/1/2021
Sherman,71190,1/1/2021
Texarkana,62839,1/1/2021
Tyler,163667,1/1/2021
Victoria,-33814,1/1/2021
Waco,187768,1/1/2021
Wichita Falls,73947,1/1/2021
